NAME 	ADDRESS	PHONE	menu	DESCRIPTION
SCREEN DOOR	2337 E BURNSIDE	(503) 753-3734	http://screendoorpdx.tumblr.com/	
SE GRIND	1223 SE POWELL	(503) 753-3735	http://places.singleplatform.com/southeast-grind/menu?ref=google	
SENGETARA	3833 NE MARTIN LUTHER KING	(503) 753-3736	http://sengaterarestaurant.com/menu.html	
SERES RESTAURANT	1105 NW LOVEJOY	(503) 753-3737	http://seresrestaurant.com/menu/	CAN BE MADE VEGAN V MARKED
SEVEN VIRTUE'S COFFEE ROASTERS	2737 SANDY	(503) 753-3738	http://assets.sevenvirtuespdx.com/menu/SevenVirtues-2015Menu-Zipper.pdf	VEGAN BAGELS, HUMMUS PLATE, COOKIES AND BAKED GOODS
SEVEN VIRTUE'S COFFEE ROASTERS	5936 NE Glisan St	(503) 753-3739	http://assets.sevenvirtuespdx.com/menu/SevenVirtues-2015Menu-Glisan.pdf	VEGAN BAGELS, HUMMUS PLATE, COOKIES AND BAKED GOODS
SHANDONG	3724 NE BROADWAY	(503) 753-3740	http://www.shandongportland.com/menu/vegan/	
SHELLY'S HONKIN HUGE BURRITOS	Pioneer Courthouse Square	(503) 753-3741		
SI SENOR MEXICAN RESTAURANT	11525 SW CHOBAN	(503) 753-3742	http://www.mysisenor.com/CEDAR_MILL/menu/	
SIP JUICE CART	2210 NE ALBERTA	(503) 753-3743	http://www.sipjuicecart.com/	
SIVALAI THAI	4806 SE STARK	(503) 753-3744	http://places.singleplatform.com/sivalayan-thai-restaurant/menu?ref=google	LIKE MOST THAI, VEGANIZABLE
SIZZLE PIE	624 E BURNSIDE	(503) 753-3745	http://www.sizzlepie.pizza/	
SIZZLE PIE	926 W Burnside St	(503) 753-3746	http://www.sizzlepie.pizza/	
SLAPPY CAKES	4246 SE BELMONT	(503) 753-3747	http://www.slappycakes.com/files/3914/4226/5174/portlandMenu.pdf	
				
THE SLIDE INN	2348 SE ANKENY	(503) 753-3749	http://www.slideinnpdx.com/Brunch.pdf	
SMAAKEN WAFFLES	2880 SE DIVISION	(503) 753-3750	http://www.smaaken.com/menu/	VEGAN MENU
SOUND GROUNDS	3701 SE BELMONT	(503) 753-3751	https://www.zomato.com/portland/sound-grounds-cafe-sunnyside/menu	VEGAN BAGEL OPTIONS
				
STAR BAR	639 SE MORRISION	(503) 753-3753	http://places.singleplatform.com/star-bar-20/menu?ref=google	
THE STATION	2703 NE ALBERTA	(503) 753-3754	http://stationpdx.com/food/	
STELLA TACO	2940 NE ALBERTA	(503) 753-3755	http://www.stellatacopdx.com/menu/	
STICKERS CAFE	2940 NE ALBERTA	(503) 753-3756	http://stickersasiancafe.com/stickers_menu.pdf	
THE SUDRA	2333 NE GLISAN	(503) 753-3757	http://www.thesudra.com/food/	
THE SUDRA	8777 N Lombard Street, Portland, OR – 97203	(503) 753-3758	http://www.thesudra.com/food/	
SUSHILOVE	1112 SE TACOMA	(503) 753-3759	https://www.facebook.com/sushilovepdx/menu/?p_ref=pa	
SUZETTE CREPERIE	3342 SE BELMONT	(503) 753-3760	https://locu.com/places/suzette-portland-us/#menu	
SWAGAT INDIAN CUSINE	2074 NW LOVEJOY	(503) 753-3761	http://swagat.com/wp/nw-portland/	
SWEET BASIL THAI	3135 NE BROADWAY	(503) 753-3762	http://www.sweetbasilor.com/#!dinner/cjmf	
SWEET HEREAFTER	3326 SE BELMONT	(503) 753-3763	https://locu.com/places/the-sweet-hereafter-portland-us/#menu	
SWEET LEMON VEGAN BISTRO	4888 NW BETHANY	(503) 753-3764		
SWEETPEA BAKING COMPANY	1205 NE STARK	(503) 753-3765	http://sweetpeabaking.com/?page_id=1300	
				
TAHRIR SQUARE 	1207 SE HAWTHORNE	(503) 753-3767	http://www.tangierrestaurant.com/#!untitled/cenx	
TANGIER MOROCCAN & MEDITIERRANEAN	221 SW PINE	(503) 753-3768	http://taooftea.com/wp-content/uploads/2014/10/BTH-FoodMenu-2014.pdf	
THE TAO OF TEA	3430 SE BELMONT	(503) 753-3769	http://taooftea.com/wp-content/uploads/2014/10/BTH-FoodMenu-2014.pdf	
TEOTE AREPERIA	1615 SE 12TH 	(503) 753-3770	http://www.teotepdx.com/menu/	
				
THAI DISH	4604 SE HAWTHORNE	(503) 753-3772	http://www.thaifooddirect.com/thaidishcuisine/menu/menucanby.pdf	
				
THAI NOON	2635 NE ALBERTA	(503) 753-3774	http://www.thainoon.com/Menu.html	
THAI PEACOCK	219 SW 9TH	(503) 753-3775	http://www.thaipeacockpdx.com/menu/	
THAI SEASONS	5824 NE SANDY	(503) 753-3776	http://thaiseasons.com/Menu.html	
THAI SMILE	1638 NW GLISAN	(503) 753-3777	http://www.thai-smiles.com/menu.html	
				
THRIVE SAUCE & BOWLS	4641 N ALBINA	(503) 753-3779	http://www.thrivesauceandbowls.com/20292/menu	
UCHU SUSHI	3940 N MISSISSIPPI	(503) 753-3780	http://www.uchusushi.com/menus/uchu-full-menu.pdf	
UNCLE TSANGS KITCHEN	2231 NE ALBERTA	(503) 753-3781	CART 	
				
VAN HAHN	8446 SE DIVISION	(503) 753-3783	8446 SE Division St, Portland, OR 97266	mostly vegan restaurant
VEGGIE GRILL	508 SW TAYLOR	(503) 753-3784	508 SW Taylor St, Portland, OR 97204	vegan restaurant
VERDE COCINA	524 NW 14TH	(503) 753-3785	524 NW 14th Ave, Portland, OR 97209	
VIA CHICAGO	2013 NE ALBERTA	(503) 753-3786	2013 NE Alberta St, Portland, OR 97211	vegan pizza
VICTORIA BAR 	4835 N ALBINA	(503) 753-3787	http://victoriapdx.com/	vegan option marked (V)
VINTNERS CELLAR	1111 NW 16TH	(503) 753-3788	http://static1.squarespace.com/static/56143cafe4b094b629342549/t/5615c2b2e4b05bb9c3ee8ec7/1444266674074/vc+vegan+menu.pdf	VEGAN MENU
VITA CAFE	3023 NE ALBERTA	(503) 753-3789	http://www.vita-cafe.com/menus/breakfast/	
VOODOO DOUGHNUTS	22 SW 3RD	(503) 753-3790	MENU UNAVAILABLE	
VOODOO DOUGHNUTS TOO	1501 NE Davis St	(503) 753-3791	MENU UNAVAILABLE	
VTOPIA	1628 SW JEFFERSON	(503) 753-3792	MENU UNAVAILABLE	
THE WAYPOST	3120 N WILLIAMS	(503) 753-3793	http://www.thewaypost.com/menu.php	
WHITE OWL	1305 SE 8TH	(503) 753-3794	http://www.whiteowlsocialclub.com/menus/#food-menu	
WHOLE BOWL	3540 N VANCOUVER	(503) 753-3795	http://www.thewholebowl.com/	
WHOLE BOWL	1100 NW GLISAN	(503) 753-3796	http://www.thewholebowl.com/	
				
WILD ABANDON	2411 SE HAWTHORNE	(503) 753-3798	http://wildabandonrestaurant.com/menus.html	
WOLF AND BEAR'S	3925 N MISSISSIPPI	(503) 753-3799	http://www.eatwolfandbears.com/menu/	
WOODLAWAN COFFEE	808 NE DEKUM	(503) 753-3800	http://www.woodlawncoffee.com/menu/breakfast-lunch/	
XV	15 SW 2ND	(503) 753-3801	http://www.barfifteen.com/Menu.pdf	
YUAN SU	11140 SE Powell Blvd, Portland, OR 97202	(503) 753-3802	MENU UNAVAILABLE	
				
THE ZIPPER - FOOD COURT	 2705 NE SANDY BLVD	(503) 753-3804	https://www.facebook.com/thezipperpdx/	
PAYDIRT	2705 NE SANDY BLVD	(503) 753-3805	MENU UNAVAILABLE	
CHICKAPEAPDX	2705 NE SANDY BLVD	(503) 753-3806	http://chickpeadx.com/	
Basilisk	2705 NE SANDY BLVD	503-234-7151	https://www.facebook.com/basiliskpdx/menu/?p_ref=pa	
